Item_Type,Item_MRP,Outlet_Identifier,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Household,149.9392,OUT049,Tier 1,Supermarket Type1,1491.392
Snack Foods,95.641,OUT027,Tier 3,Supermarket Type3,1737.738
Canned,94.4094,OUT017,Tier 2,Supermarket Type1,1904.188
Frozen Foods,127.3678,OUT045,Tier 2,Supermarket Type1,508.6712
Canned,170.4132,OUT017,Tier 2,Supermarket Type1,4396.9432
Hard Drinks,161.7578,OUT049,Tier 1,Supermarket Type1,1604.578
Snack Foods,113.5544,OUT017,Tier 2,Supermarket Type1,894.8352
Household,190.8162,OUT035,Tier 2,Supermarket Type1,3271.0754
Household,182.5976,OUT018,Tier 3,Supermarket Type2,1629.8784
Household,54.6956,OUT013,Tier 3,Supermarket Type1,764.3384
Baking Goods,64.751,OUT013,Tier 3,Supermarket Type1,126.502
Snack Foods,228.1694,OUT019,Tier 1,Grocery Store,228.3694
Canned,94.4778,OUT017,Tier 2,Supermarket Type1,2628.5784
Starchy Foods,186.0924,OUT018,Tier 3,Supermarket Type2,3516.7556
Breads,217.5166,OUT045,Tier 2,Supermarket Type1,653.1498
Fruits and Vegetables,160.3578,OUT017,Tier 2,Supermarket Type1,2406.867
Baking Goods,46.8034,OUT027,Tier 3,Supermarket Type3,1069.2748
Canned,141.5496,OUT049,Tier 1,Supermarket Type1,1976.0944
Snack Foods,91.0146,OUT045,Tier 2,Supermarket Type1,1368.219
Dairy,57.8562,OUT046,Tier 1,Supermarket Type1,355.5372
Meat,250.9408,OUT019,Tier 1,Grocery Store,1001.3632
Breakfast,164.5526,OUT045,Tier 2,Supermarket Type1,1644.526
Health and Hygiene,84.7224,OUT049,Tier 1,Supermarket Type1,1619.2256
Dairy,88.9514,OUT027,Tier 3,Supermarket Type3,3453.5046
Frozen Foods,178.337,OUT035,Tier 2,Supermarket Type1,1411.496
Fruits and Vegetables,169.7448,OUT049,Tier 1,Supermarket Type1,3238.4512
Household,116.4492,OUT013,Tier 3,Supermarket Type1,2316.984
Hard Drinks,55.1298,OUT035,Tier 2,Supermarket Type1,1240.3854
Baking Goods,88.8514,OUT019,Tier 1,Grocery Store,265.6542
Soft Drinks,113.286,OUT027,Tier 3,Supermarket Type3,2716.464
Canned,52.564,OUT035,Tier 2,Supermarket Type1,639.168
Dairy,265.8884,OUT046,Tier 1,Supermarket Type1,2649.884
Frozen Foods,106.328,OUT017,Tier 2,Supermarket Type1,852.224
Baking Goods,148.205,OUT010,Tier 3,Grocery Store,449.415
Snack Foods,229.3668,OUT017,Tier 2,Supermarket Type1,2303.668
Baking Goods,88.283,OUT010,Tier 3,Grocery Store,89.883
Household,178.7318,OUT046,Tier 1,Supermarket Type1,1263.0226
Canned,208.5638,OUT045,Tier 2,Supermarket Type1,2277.7018
Meat,63.0826,OUT013,Tier 3,Supermarket Type1,322.913
Snack Foods,186.3924,OUT049,Tier 1,Supermarket Type1,1295.6468
Seafood,240.288,OUT049,Tier 1,Supermarket Type1,2396.88
Fruits and Vegetables,210.6586,OUT013,Tier 3,Supermarket Type1,5487.5236
Dairy,171.5764,OUT045,Tier 2,Supermarket Type1,4637.9628
Soft Drinks,123.0388,OUT027,Tier 3,Supermarket Type3,1981.4208
Fruits and Vegetables,45.9402,OUT027,Tier 3,Supermarket Type3,872.8638
Snack Foods,43.8428,OUT013,Tier 3,Supermarket Type1,175.7712
Household,176.6344,OUT013,Tier 3,Supermarket Type1,1962.7784
Meat,111.8202,OUT013,Tier 3,Supermarket Type1,2025.3636
Fruits and Vegetables,117.1808,OUT046,Tier 1,Supermarket Type1,1874.8928
Frozen Foods,261.1936,OUT045,Tier 2,Supermarket Type1,2348.9424
Dairy,231.9642,OUT049,Tier 1,Supermarket Type1,3020.7346
Fruits and Vegetables,243.9144,OUT017,Tier 2,Supermarket Type1,4655.2736
Canned,219.4824,OUT046,Tier 1,Supermarket Type1,1747.0592
Hard Drinks,232.9616,OUT045,Tier 2,Supermarket Type1,2812.3392
Soft Drinks,187.0924,OUT035,Tier 2,Supermarket Type1,1850.924
Snack Foods,45.1402,OUT010,Tier 3,Grocery Store,45.9402
Breads,157.5288,OUT017,Tier 2,Supermarket Type1,1571.288
Snack Foods,144.976,OUT013,Tier 3,Supermarket Type1,2783.044
Fruits and Vegetables,168.2474,OUT027,Tier 3,Supermarket Type3,3200.5006
Household,116.9492,OUT017,Tier 2,Supermarket Type1,2316.984
Dairy,55.1956,OUT035,Tier 2,Supermarket Type1,491.3604
Breakfast,233.93,OUT010,Tier 3,Grocery Store,233.03
Fruits and Vegetables,93.6094,OUT013,Tier 3,Supermarket Type1,476.047
Snack Foods,153.1366,OUT013,Tier 3,Supermarket Type1,3173.8686
Dairy,196.3426,OUT010,Tier 3,Grocery Store,790.9704
Frozen Foods,77.367,OUT010,Tier 3,Grocery Store,153.134
Hard Drinks,158.6578,OUT045,Tier 2,Supermarket Type1,3369.6138
Snack Foods,197.2452,OUT035,Tier 2,Supermarket Type1,2348.9424
Meat,63.4826,OUT046,Tier 1,Supermarket Type1,2002.0606
Household,177.0054,OUT027,Tier 3,Supermarket Type3,2101.2648
Canned,188.2556,OUT035,Tier 2,Supermarket Type1,3379.6008
Dairy,34.4874,OUT035,Tier 2,Supermarket Type1,494.0236
Snack Foods,230.2668,OUT045,Tier 2,Supermarket Type1,5759.17
Meat,73.2038,OUT035,Tier 2,Supermarket Type1,1404.1722
Dairy,55.393,OUT018,Tier 3,Supermarket Type2,1018.674
Household,43.6086,OUT013,Tier 3,Supermarket Type1,624.5204
Others,189.253,OUT046,Tier 1,Supermarket Type1,1518.024
Soft Drinks,47.5692,OUT045,Tier 2,Supermarket Type1,1379.5376
Snack Foods,130.5626,OUT018,Tier 3,Supermarket Type2,1180.4634
Fruits and Vegetables,59.4536,OUT046,Tier 1,Supermarket Type1,857.5504
Others,107.7912,OUT013,Tier 3,Supermarket Type1,982.7208
Snack Foods,97.3752,OUT013,Tier 3,Supermarket Type1,958.752
Snack Foods,107.4622,OUT017,Tier 2,Supermarket Type1,1693.7952
Household,232.7616,OUT049,Tier 1,Supermarket Type1,1874.8928
Snack Foods,90.2146,OUT027,Tier 3,Supermarket Type3,3648.584
Meat,156.0314,OUT046,Tier 1,Supermarket Type1,2016.7082
Frozen Foods,92.4488,OUT017,Tier 2,Supermarket Type1,1358.232
Meat,104.499,OUT046,Tier 1,Supermarket Type1,1031.99
Others,194.5478,OUT035,Tier 2,Supermarket Type1,774.9912
Fruits and Vegetables,89.0488,OUT046,Tier 1,Supermarket Type1,1267.6832
Meat,166.0816,OUT010,Tier 3,Grocery Store,671.1264
Health and Hygiene,34.5532,OUT046,Tier 1,Supermarket Type1,323.5788
Others,182.7608,OUT046,Tier 1,Supermarket Type1,1837.608
Fruits and Vegetables,96.2094,OUT010,Tier 3,Grocery Store,190.4188
Canned,179.2002,OUT013,Tier 3,Supermarket Type1,2865.6032
Breads,146.4444,OUT046,Tier 1,Supermarket Type1,1596.5884
Snack Foods,88.9514,OUT017,Tier 2,Supermarket Type1,2125.2336
Baking Goods,74.838,OUT049,Tier 1,Supermarket Type1,1537.998
Fruits and Vegetables,97.841,OUT045,Tier 2,Supermarket Type1,1255.033
Meat,155.8314,OUT019,Tier 1,Grocery Store,310.2628
Others,80.6618,OUT017,Tier 2,Supermarket Type1,1208.427
Frozen Foods,35.219,OUT010,Tier 3,Grocery Store,36.619
Canned,86.4224,OUT046,Tier 1,Supermarket Type1,1022.6688
Household,178.2686,OUT013,Tier 3,Supermarket Type1,2666.529
Household,55.6614,OUT046,Tier 1,Supermarket Type1,718.3982
Household,238.1248,OUT035,Tier 2,Supermarket Type1,4266.4464
Baking Goods,132.9626,OUT035,Tier 2,Supermarket Type1,2360.9268
Seafood,34.2216,OUT013,Tier 3,Supermarket Type1,934.7832
Baking Goods,100.3016,OUT027,Tier 3,Supermarket Type3,2833.6448
Soft Drinks,92.7146,OUT013,Tier 3,Supermarket Type1,1733.0774
Breads,196.0794,OUT018,Tier 3,Supermarket Type2,1755.7146
Snack Foods,142.4838,OUT018,Tier 3,Supermarket Type2,561.9352
Soft Drinks,87.0882,OUT013,Tier 3,Supermarket Type1,1803.6522
Household,57.8588,OUT013,Tier 3,Supermarket Type1,1145.176
Dairy,218.6482,OUT013,Tier 3,Supermarket Type1,3723.8194
Soft Drinks,146.9102,OUT035,Tier 2,Supermarket Type1,1895.5326
Health and Hygiene,37.6506,OUT010,Tier 3,Grocery Store,37.9506
Snack Foods,258.362,OUT010,Tier 3,Grocery Store,259.662
Health and Hygiene,190.3846,OUT013,Tier 3,Supermarket Type1,3630.6074
Fruits and Vegetables,127.4678,OUT035,Tier 2,Supermarket Type1,3560.6984
Meat,182.295,OUT010,Tier 3,Grocery Store,549.285
Soft Drinks,56.4614,OUT049,Tier 1,Supermarket Type1,773.6596
Frozen Foods,88.5856,OUT046,Tier 1,Supermarket Type1,878.856
Dairy,117.5782,OUT027,Tier 3,Supermarket Type3,2741.0986
Breakfast,132.2626,OUT035,Tier 2,Supermarket Type1,2098.6016
Health and Hygiene,262.5226,OUT046,Tier 1,Supermarket Type1,9779.9362
Canned,103.7674,OUT019,Tier 1,Grocery Store,203.7348
Soft Drinks,172.1422,OUT010,Tier 3,Grocery Store,517.3266
Soft Drinks,166.4526,OUT013,Tier 3,Supermarket Type1,3782.4098
Household,48.8718,OUT049,Tier 1,Supermarket Type1,425.4462
Household,129.831,OUT046,Tier 1,Supermarket Type1,1947.465
Canned,91.312,OUT027,Tier 3,Supermarket Type3,3075.996
Meat,95.7752,OUT027,Tier 3,Supermarket Type3,3930.8832
Canned,41.4454,OUT010,Tier 3,Grocery Store,41.9454
Baking Goods,98.5384,OUT019,Tier 1,Grocery Store,591.2304
Baking Goods,188.024,OUT049,Tier 1,Supermarket Type1,2796.36
Frozen Foods,160.6578,OUT017,Tier 2,Supermarket Type1,1765.0358
Fruits and Vegetables,99.67,OUT017,Tier 2,Supermarket Type1,3295.71
Household,196.811,OUT017,Tier 2,Supermarket Type1,3338.987
Soft Drinks,147.5102,OUT046,Tier 1,Supermarket Type1,1166.4816
Soft Drinks,32.49,OUT049,Tier 1,Supermarket Type1,865.54
Snack Foods,264.9568,OUT013,Tier 3,Supermarket Type1,6855.0768
Fruits and Vegetables,257.5646,OUT013,Tier 3,Supermarket Type1,5153.292
Dairy,95.6752,OUT018,Tier 3,Supermarket Type2,1246.3776
Hard Drinks,173.3422,OUT017,Tier 2,Supermarket Type1,4138.6128
Others,141.9154,OUT045,Tier 2,Supermarket Type1,2694.4926
Snack Foods,197.211,OUT010,Tier 3,Grocery Store,196.411
Snack Foods,112.9544,OUT049,Tier 1,Supermarket Type1,1342.2528
Household,192.0478,OUT018,Tier 3,Supermarket Type2,3099.9648
Snack Foods,240.5222,OUT017,Tier 2,Supermarket Type1,4541.4218
Baking Goods,194.411,OUT049,Tier 1,Supermarket Type1,5106.686
Fruits and Vegetables,113.1886,OUT019,Tier 1,Grocery Store,111.1886
Baking Goods,164.121,OUT018,Tier 3,Supermarket Type2,1794.331
Canned,114.3492,OUT049,Tier 1,Supermarket Type1,1853.5872
Baking Goods,146.5076,OUT018,Tier 3,Supermarket Type2,1625.8836
Baking Goods,119.4756,OUT046,Tier 1,Supermarket Type1,1090.5804
Fruits and Vegetables,122.1098,OUT049,Tier 1,Supermarket Type1,2892.2352
Fruits and Vegetables,170.2448,OUT010,Tier 3,Grocery Store,170.4448
Meat,183.5608,OUT010,Tier 3,Grocery Store,551.2824
Soft Drinks,47.406,OUT045,Tier 2,Supermarket Type1,978.726
Breads,101.699,OUT035,Tier 2,Supermarket Type1,2992.771
Canned,79.6986,OUT046,Tier 1,Supermarket Type1,1480.0734
Snack Foods,113.0176,OUT018,Tier 3,Supermarket Type2,2862.94
Frozen Foods,83.4224,OUT017,Tier 2,Supermarket Type1,681.7792
Baking Goods,172.3422,OUT045,Tier 2,Supermarket Type1,5690.5926
Fruits and Vegetables,62.2194,OUT010,Tier 3,Grocery Store,185.7582
Dairy,176.7028,OUT017,Tier 2,Supermarket Type1,1416.8224
Fruits and Vegetables,192.6162,OUT046,Tier 1,Supermarket Type1,5580.0698
Fruits and Vegetables,46.8744,OUT045,Tier 2,Supermarket Type1,905.488
Canned,96.3094,OUT046,Tier 1,Supermarket Type1,2856.282
Health and Hygiene,117.6492,OUT010,Tier 3,Grocery Store,347.5476
Breads,164.7184,OUT046,Tier 1,Supermarket Type1,3962.8416
Snack Foods,222.6088,OUT035,Tier 2,Supermarket Type1,6040.1376
Meat,45.4718,OUT027,Tier 3,Supermarket Type3,1323.6104
Seafood,157.5604,OUT027,Tier 3,Supermarket Type3,5704.5744
Soft Drinks,125.1388,OUT017,Tier 2,Supermarket Type1,1114.5492
Household,49.5376,OUT046,Tier 1,Supermarket Type1,1006.6896
Dairy,38.8138,OUT045,Tier 2,Supermarket Type1,690.4346
Household,125.8362,OUT017,Tier 2,Supermarket Type1,2516.724
Baking Goods,102.0648,OUT046,Tier 1,Supermarket Type1,1038.648
Fruits and Vegetables,110.757,OUT046,Tier 1,Supermarket Type1,1208.427
Fruits and Vegetables,103.3306,OUT045,Tier 2,Supermarket Type1,522.653
Fruits and Vegetables,255.7988,OUT027,Tier 3,Supermarket Type3,9251.9568
Frozen Foods,263.291,OUT010,Tier 3,Grocery Store,525.982
Breads,122.0098,OUT018,Tier 3,Supermarket Type2,2048.6666
Snack Foods,254.2672,OUT027,Tier 3,Supermarket Type3,10993.6896
Breakfast,40.348,OUT010,Tier 3,Grocery Store,39.948
Meat,153.4314,OUT045,Tier 2,Supermarket Type1,2482.1024
Canned,78.8986,OUT045,Tier 2,Supermarket Type1,1635.8706
Soft Drinks,153.1998,OUT017,Tier 2,Supermarket Type1,3383.5956
Health and Hygiene,101.6674,OUT027,Tier 3,Supermarket Type3,1426.1436
Snack Foods,217.585,OUT035,Tier 2,Supermarket Type1,4327.7
Hard Drinks,127.1336,OUT013,Tier 3,Supermarket Type1,3579.3408
Health and Hygiene,158.2604,OUT035,Tier 2,Supermarket Type1,2693.8268
Frozen Foods,138.118,OUT049,Tier 1,Supermarket Type1,1957.452
Hard Drinks,172.9422,OUT013,Tier 3,Supermarket Type1,2931.5174
Snack Foods,259.6962,OUT035,Tier 2,Supermarket Type1,5438.9202
Household,170.579,OUT010,Tier 3,Grocery Store,509.337
Frozen Foods,62.151,OUT046,Tier 1,Supermarket Type1,1201.769
Snack Foods,214.0218,OUT045,Tier 2,Supermarket Type1,2564.6616
Snack Foods,178.337,OUT049,Tier 1,Supermarket Type1,1411.496
Soft Drinks,127.1652,OUT045,Tier 2,Supermarket Type1,1291.652
Dairy,184.4608,OUT049,Tier 1,Supermarket Type1,4042.7376
Snack Foods,169.0816,OUT035,Tier 2,Supermarket Type1,5201.2296
Household,124.6046,OUT027,Tier 3,Supermarket Type3,2863.6058
Baking Goods,177.866,OUT046,Tier 1,Supermarket Type1,1078.596
Snack Foods,97.0068,OUT046,Tier 1,Supermarket Type1,1846.9292
Frozen Foods,38.419,OUT049,Tier 1,Supermarket Type1,476.047
Fruits and Vegetables,151.805,OUT013,Tier 3,Supermarket Type1,2696.49
Health and Hygiene,49.1034,OUT010,Tier 3,Grocery Store,194.4136
Dairy,178.0344,OUT045,Tier 2,Supermarket Type1,535.3032
Health and Hygiene,56.293,OUT027,Tier 3,Supermarket Type3,2546.685
Dairy,97.2726,OUT010,Tier 3,Grocery Store,195.7452
Frozen Foods,110.1544,OUT019,Tier 1,Grocery Store,111.8544
Starchy Foods,183.9924,OUT027,Tier 3,Supermarket Type3,6478.234
Hard Drinks,44.777,OUT013,Tier 3,Supermarket Type1,605.878
Fruits and Vegetables,177.0054,OUT035,Tier 2,Supermarket Type1,2976.7918
Meat,182.1608,OUT027,Tier 3,Supermarket Type3,5880.3456
Fruits and Vegetables,222.0772,OUT019,Tier 1,Grocery Store,889.5088
Dairy,112.9176,OUT027,Tier 3,Supermarket Type3,3435.528
Baking Goods,93.0462,OUT035,Tier 2,Supermarket Type1,1110.5544
Others,122.173,OUT013,Tier 3,Supermarket Type1,2586.633
Snack Foods,238.7564,OUT018,Tier 3,Supermarket Type2,1906.8512
Health and Hygiene,122.373,OUT046,Tier 1,Supermarket Type1,2586.633
Frozen Foods,93.1804,OUT049,Tier 1,Supermarket Type1,1378.206
Snack Foods,88.383,OUT019,Tier 1,Grocery Store,89.883
Household,115.0518,OUT013,Tier 3,Supermarket Type1,683.1108
Fruits and Vegetables,54.1298,OUT046,Tier 1,Supermarket Type1,1348.245
Fruits and Vegetables,55.4272,OUT019,Tier 1,Grocery Store,111.8544
Starchy Foods,226.9062,OUT013,Tier 3,Supermarket Type1,4514.124
Hard Drinks,233.8616,OUT018,Tier 3,Supermarket Type2,937.4464
Fruits and Vegetables,188.1872,OUT049,Tier 1,Supermarket Type1,2458.1336
Dairy,264.3568,OUT018,Tier 3,Supermarket Type2,4745.8224
Fruits and Vegetables,91.0146,OUT027,Tier 3,Supermarket Type3,3466.1548
Health and Hygiene,154.463,OUT017,Tier 2,Supermarket Type1,2503.408
Fruits and Vegetables,148.2418,OUT017,Tier 2,Supermarket Type1,3089.9778
Frozen Foods,111.3544,OUT049,Tier 1,Supermarket Type1,1342.2528
Health and Hygiene,114.0492,OUT027,Tier 3,Supermarket Type3,3938.8728
Health and Hygiene,184.0608,OUT017,Tier 2,Supermarket Type1,2021.3688
Canned,84.1224,OUT010,Tier 3,Grocery Store,170.4448
Breakfast,128.7994,OUT049,Tier 1,Supermarket Type1,1927.491
Others,110.2912,OUT045,Tier 2,Supermarket Type1,873.5296
Breads,142.2838,OUT018,Tier 3,Supermarket Type2,421.4514
Dairy,98.1726,OUT017,Tier 2,Supermarket Type1,587.2356
Frozen Foods,141.8838,OUT010,Tier 3,Grocery Store,280.9676
Fruits and Vegetables,87.3856,OUT049,Tier 1,Supermarket Type1,878.856
Snack Foods,236.0248,OUT027,Tier 3,Supermarket Type3,6636.6944
Canned,162.4894,OUT013,Tier 3,Supermarket Type1,1779.6834
Baking Goods,98.7384,OUT046,Tier 1,Supermarket Type1,492.692
Fruits and Vegetables,145.5786,OUT045,Tier 2,Supermarket Type1,3900.9222
Dairy,228.6352,OUT049,Tier 1,Supermarket Type1,3435.528
Canned,185.424,OUT046,Tier 1,Supermarket Type1,5219.872
Soft Drinks,165.7868,OUT027,Tier 3,Supermarket Type3,4913.604
Frozen Foods,180.3318,OUT013,Tier 3,Supermarket Type1,4149.9314
Household,119.0098,OUT049,Tier 1,Supermarket Type1,2530.7058
Canned,151.934,OUT017,Tier 2,Supermarket Type1,1837.608
Frozen Foods,192.7478,OUT045,Tier 2,Supermarket Type1,2131.2258
Household,192.5136,OUT017,Tier 2,Supermarket Type1,2916.204
Canned,218.4824,OUT018,Tier 3,Supermarket Type2,1528.6768
Health and Hygiene,152.4656,OUT045,Tier 2,Supermarket Type1,2934.8464
Canned,262.7226,OUT035,Tier 2,Supermarket Type1,3171.8712
Fruits and Vegetables,100.27,OUT049,Tier 1,Supermarket Type1,998.7
Frozen Foods,99.7358,OUT035,Tier 2,Supermarket Type1,1105.8938
Health and Hygiene,61.5536,OUT027,Tier 3,Supermarket Type3,918.804
Household,48.6376,OUT018,Tier 3,Supermarket Type2,575.2512
Household,234.2958,OUT013,Tier 3,Supermarket Type1,3739.1328
Frozen Foods,112.6544,OUT046,Tier 1,Supermarket Type1,2684.5056
Frozen Foods,193.8478,OUT035,Tier 2,Supermarket Type1,2712.4692
Hard Drinks,230.2694,OUT013,Tier 3,Supermarket Type1,4567.388
Fruits and Vegetables,228.4694,OUT045,Tier 2,Supermarket Type1,5480.8656
Fruits and Vegetables,186.224,OUT027,Tier 3,Supermarket Type3,5033.448
Canned,185.9266,OUT045,Tier 2,Supermarket Type1,2581.9724
Snack Foods,164.8868,OUT046,Tier 1,Supermarket Type1,2456.802
Fruits and Vegetables,77.8012,OUT010,Tier 3,Grocery Store,227.7036
Household,163.821,OUT035,Tier 2,Supermarket Type1,2120.573
Dairy,43.5744,OUT045,Tier 2,Supermarket Type1,407.4696
Snack Foods,113.6834,OUT013,Tier 3,Supermarket Type1,230.3668
Starchy Foods,89.8804,OUT046,Tier 1,Supermarket Type1,1286.3256
Soft Drinks,93.1146,OUT035,Tier 2,Supermarket Type1,2189.1504
Fruits and Vegetables,89.6514,OUT049,Tier 1,Supermarket Type1,1859.5794
Soft Drinks,85.5198,OUT013,Tier 3,Supermarket Type1,1744.396
Breads,158.7578,OUT035,Tier 2,Supermarket Type1,2246.4092
Soft Drinks,171.0106,OUT045,Tier 2,Supermarket Type1,4106.6544
Soft Drinks,47.506,OUT010,Tier 3,Grocery Store,186.424
Meat,44.7744,OUT013,Tier 3,Supermarket Type1,181.0976
Snack Foods,84.854,OUT045,Tier 2,Supermarket Type1,778.986
Meat,156.2314,OUT046,Tier 1,Supermarket Type1,2947.4966
Canned,86.4198,OUT027,Tier 3,Supermarket Type3,1918.8356
Baking Goods,177.037,OUT013,Tier 3,Supermarket Type1,3705.177
Snack Foods,159.5578,OUT049,Tier 1,Supermarket Type1,1283.6624
Starchy Foods,261.3252,OUT018,Tier 3,Supermarket Type2,3410.2276
Snack Foods,126.7994,OUT035,Tier 2,Supermarket Type1,1284.994
Frozen Foods,40.5822,OUT035,Tier 2,Supermarket Type1,785.644
Breakfast,49.3008,OUT027,Tier 3,Supermarket Type3,1518.024
Household,187.7898,OUT017,Tier 2,Supermarket Type1,2245.0776
Health and Hygiene,175.2028,OUT035,Tier 2,Supermarket Type1,4427.57
Breakfast,100.7332,OUT013,Tier 3,Supermarket Type1,1230.3984
Baking Goods,195.5452,OUT018,Tier 3,Supermarket Type2,1174.4712
Breakfast,162.8526,OUT019,Tier 1,Grocery Store,493.3578
Frozen Foods,196.2426,OUT045,Tier 2,Supermarket Type1,2570.6538
Health and Hygiene,60.6536,OUT035,Tier 2,Supermarket Type1,980.0576
Frozen Foods,259.7936,OUT018,Tier 3,Supermarket Type2,2609.936
Fruits and Vegetables,176.3396,OUT049,Tier 1,Supermarket Type1,1395.5168
Canned,109.5228,OUT027,Tier 3,Supermarket Type3,3426.2068
Canned,258.3278,OUT046,Tier 1,Supermarket Type1,7028.8506
Breads,76.3986,OUT013,Tier 3,Supermarket Type1,1402.1748
Household,165.1526,OUT010,Tier 3,Grocery Store,164.4526
Fruits and Vegetables,159.5578,OUT013,Tier 3,Supermarket Type1,2085.9514
Household,120.5414,OUT019,Tier 1,Grocery Store,365.5242
Household,231.3668,OUT018,Tier 3,Supermarket Type2,4607.336
Snack Foods,97.3042,OUT046,Tier 1,Supermarket Type1,1091.2462
Fruits and Vegetables,225.172,OUT035,Tier 2,Supermarket Type1,3395.58
Fruits and Vegetables,89.583,OUT013,Tier 3,Supermarket Type1,1797.66
Snack Foods,257.2962,OUT010,Tier 3,Grocery Store,517.9924
Snack Foods,140.2496,OUT027,Tier 3,Supermarket Type3,4093.3384
Household,214.5192,OUT045,Tier 2,Supermarket Type1,2804.3496
Breads,164.6184,OUT045,Tier 2,Supermarket Type1,3797.7232
Soft Drinks,172.0422,OUT018,Tier 3,Supermarket Type2,5690.5926
Frozen Foods,217.1192,OUT049,Tier 1,Supermarket Type1,3235.788
Fruits and Vegetables,225.6062,OUT018,Tier 3,Supermarket Type2,1579.9434
Baking Goods,158.1604,OUT035,Tier 2,Supermarket Type1,1901.5248
Health and Hygiene,177.8686,OUT046,Tier 1,Supermarket Type1,4621.9836
Baking Goods,98.6726,OUT046,Tier 1,Supermarket Type1,782.9808
Meat,36.6532,OUT017,Tier 2,Supermarket Type1,755.0172
Breads,86.2856,OUT035,Tier 2,Supermarket Type1,1406.1696
Canned,93.1804,OUT049,Tier 1,Supermarket Type1,1194.4452
Baking Goods,81.2618,OUT035,Tier 2,Supermarket Type1,402.809
Fruits and Vegetables,125.2678,OUT010,Tier 3,Grocery Store,127.1678
Breads,121.5414,OUT049,Tier 1,Supermarket Type1,2436.828
Fruits and Vegetables,122.9072,OUT027,Tier 3,Supermarket Type3,4532.7664
Frozen Foods,193.5478,OUT027,Tier 3,Supermarket Type3,4649.9472
Snack Foods,241.6828,OUT027,Tier 3,Supermarket Type3,4873.656
Canned,77.2986,OUT017,Tier 2,Supermarket Type1,1246.3776
Household,262.9594,OUT049,Tier 1,Supermarket Type1,5233.188
Dairy,153.9998,OUT027,Tier 3,Supermarket Type3,5229.1932
Hard Drinks,152.2998,OUT045,Tier 2,Supermarket Type1,3075.996
Canned,57.3246,OUT017,Tier 2,Supermarket Type1,1332.2658
Household,169.6474,OUT017,Tier 2,Supermarket Type1,2526.711
Seafood,158.4604,OUT010,Tier 3,Grocery Store,158.4604
Hard Drinks,111.786,OUT035,Tier 2,Supermarket Type1,1697.79
Fruits and Vegetables,115.7518,OUT027,Tier 3,Supermarket Type3,5351.0346
Health and Hygiene,158.9604,OUT045,Tier 2,Supermarket Type1,1743.0644
Baking Goods,48.8034,OUT046,Tier 1,Supermarket Type1,340.2238
Snack Foods,146.6102,OUT018,Tier 3,Supermarket Type2,2770.3938
Frozen Foods,128.4678,OUT046,Tier 1,Supermarket Type1,508.6712
Household,103.7964,OUT010,Tier 3,Grocery Store,210.3928
Frozen Foods,180.266,OUT046,Tier 1,Supermarket Type1,1617.894
Breads,198.8742,OUT046,Tier 1,Supermarket Type1,5773.1518
Health and Hygiene,65.6168,OUT018,Tier 3,Supermarket Type2,383.5008
Breads,79.8986,OUT045,Tier 2,Supermarket Type1,1090.5804
Meat,162.1578,OUT046,Tier 1,Supermarket Type1,1283.6624
Household,166.5474,OUT027,Tier 3,Supermarket Type3,4379.6324
Breads,125.7046,OUT027,Tier 3,Supermarket Type3,3237.1196
Snack Foods,163.9842,OUT019,Tier 1,Grocery Store,331.5684
Frozen Foods,208.3954,OUT010,Tier 3,Grocery Store,1041.977
Baking Goods,195.311,OUT045,Tier 2,Supermarket Type1,3338.987
Fruits and Vegetables,120.0756,OUT046,Tier 1,Supermarket Type1,2302.3364
Snack Foods,165.2868,OUT013,Tier 3,Supermarket Type1,3111.9492
Baking Goods,106.8622,OUT049,Tier 1,Supermarket Type1,2011.3818
Household,121.9098,OUT027,Tier 3,Supermarket Type3,3374.2744
Snack Foods,167.2816,OUT045,Tier 2,Supermarket Type1,2013.3792
Frozen Foods,147.7102,OUT017,Tier 2,Supermarket Type1,1895.5326
Hard Drinks,114.2492,OUT017,Tier 2,Supermarket Type1,1853.5872
Baking Goods,159.7604,OUT017,Tier 2,Supermarket Type1,2693.8268
Health and Hygiene,125.2362,OUT046,Tier 1,Supermarket Type1,1384.1982
Fruits and Vegetables,179.9318,OUT018,Tier 3,Supermarket Type2,2706.477
Frozen Foods,194.1478,OUT010,Tier 3,Grocery Store,1162.4868
Soft Drinks,44.477,OUT013,Tier 3,Supermarket Type1,865.54
Snack Foods,41.048,OUT035,Tier 2,Supermarket Type1,479.376
Snack Foods,174.837,OUT017,Tier 2,Supermarket Type1,5469.547
Frozen Foods,148.3392,OUT035,Tier 2,Supermarket Type1,3877.6192
Soft Drinks,46.6086,OUT035,Tier 2,Supermarket Type1,624.5204
Household,44.906,OUT049,Tier 1,Supermarket Type1,652.484
Snack Foods,118.9124,OUT027,Tier 3,Supermarket Type3,2844.2976
Canned,266.5884,OUT019,Tier 1,Grocery Store,1324.942
Canned,115.6808,OUT049,Tier 1,Supermarket Type1,1406.1696
Snack Foods,195.111,OUT027,Tier 3,Supermarket Type3,5303.097
Baking Goods,124.6388,OUT045,Tier 2,Supermarket Type1,2105.2596
Soft Drinks,120.344,OUT049,Tier 1,Supermarket Type1,3835.008
Fruits and Vegetables,190.9162,OUT049,Tier 1,Supermarket Type1,5195.2374
Fruits and Vegetables,48.6034,OUT045,Tier 2,Supermarket Type1,194.4136
